h_4_0,h_4_1
0.9299793,0.025050104
0.9299793,0.9299793
0.9299793,0.027849138
0.9299793,0.9299793
0.9299793,0.9299793
0.9299793,0.027496457
0.9298645,0.028216451
0.9298645,0.9298645
0.9298645,0.9298645
0.9298645,0.027849138
0.9298645,0.9298645
0.9298645,0.025050104
0.9298645,0.025050104
0.9298645,0.9299793
0.9298645,0.9298645
0.9298645,0.025050104
0.9298645,0.025050104
0.9298645,0.9299793
0.9298645,0.027849138
0.9298645,0.9299793
0.9298645,0.9299793
0.9298645,0.027496457
0.025050104,0.028216451
0.025050104,0.9298645
0.025050104,0.9298645
0.025050104,0.027849138
0.025050104,0.9298645
0.025050104,0.025050104
0.025050104,0.025050104
0.025050104,0.9299793
0.025050104,0.9298645
0.025050104,0.025050104
0.025050104,0.025050104
0.025050104,0.9299793
0.025050104,0.027849138
0.025050104,0.9299793
0.025050104,0.9299793
0.025050104,0.027496457
0.025050104,0.028216451
0.025050104,0.9298645
0.025050104,0.9298645
0.025050104,0.027849138
0.025050104,0.9298645
0.025050104,0.025050104
0.025050104,0.025050104
0.025050104,0.9299793
0.025050104,0.9298645
0.025050104,0.025050104
0.025050104,0.025050104
0.025050104,0.9299793
0.025050104,0.027849138
0.025050104,0.9299793
0.025050104,0.9299793
0.025050104,0.027496457
0.9299793,0.028216451
0.9299793,0.9298645
0.9299793,0.9298645
0.9299793,0.027849138
0.9299793,0.9298645
0.9299793,0.025050104
0.9299793,0.025050104
0.9299793,0.9299793
0.9299793,0.9298645
0.9299793,0.025050104
0.9299793,0.025050104
0.9299793,0.9299793
0.9299793,0.027849138
0.9299793,0.9299793
0.9299793,0.9299793
0.9299793,0.027496457
0.027849138,0.028216451
0.027849138,0.9298645
0.027849138,0.9298645
0.027849138,0.027849138
0.027849138,0.9298645
0.027849138,0.025050104
0.027849138,0.025050104
0.027849138,0.9299793
0.027849138,0.9298645
0.027849138,0.025050104
0.027849138,0.025050104
0.027849138,0.9299793
0.027849138,0.027849138
0.027849138,0.9299793
0.027849138,0.9299793
0.027849138,0.027496457
0.9299793,0.028216451
0.9299793,0.9298645
0.9299793,0.9298645
0.9299793,0.027849138
0.9299793,0.9298645
0.9299793,0.025050104
0.9299793,0.025050104
0.9299793,0.9299793
0.9299793,0.9298645
0.9299793,0.025050104
0.9299793,0.025050104
0.9299793,0.9299793
0.9299793,0.027849138
0.9299793,0.9299793
0.9299793,0.9299793
0.9299793,0.027496457
0.9299793,0.028216451
0.9299793,0.9298645
0.9299793,0.9298645
0.9299793,0.027849138
0.9299793,0.9298645
0.9299793,0.025050104
0.9299793,0.025050104
0.9299793,0.9299793
0.9299793,0.9298645
0.9299793,0.025050104
0.9299793,0.025050104
0.9299793,0.9299793
0.9299793,0.027849138
0.9299793,0.9299793
0.9299793,0.9299793
0.9299793,0.027496457
0.027496457,0.028216451
0.027496457,0.9298645
0.027496457,0.9298645
0.027496457,0.027849138
0.027496457,0.9298645
0.027496457,0.025050104
0.027496457,0.025050104
0.027496457,0.9299793
0.027496457,0.9298645
0.027496457,0.025050104
0.027496457,0.025050104
0.027496457,0.9299793
0.027496457,0.027849138
0.027496457,0.9299793
0.027496457,0.9299793
0.027496457,0.027496457
